Classof,Measure Names,Organization Code,Organization Name,organizationid,Suppression Label,Measure Values,Cohort Numberof Students
Class of 2018,Continued,3415,University High School,102795, ,0.041131105,389
Class of 2018,Dropped Out,3415,University High School,102795, ,0.071979434,389
Class of 2018,Graduated,3418,Tekoa High School,103131, ,0.769230769,13
Class of 2018,Continued,3418,Tekoa High School,103131, ,0.076923077,13
Class of 2018,Dropped Out,3418,Tekoa High School,103131, ,0.153846154,13
Class of 2018,Graduated,3423,Columbia River High,100540, ,0.897526502,283
Class of 2018,Continued,3423,Columbia River High,100540, ,0.088339223,283
Class of 2018,Dropped Out,3423,Columbia River High,100540, ,0.014134276,283
Class of 2018,Graduated,3456,Lakes High School,102235, ,0.919354839,310
Class of 2018,Continued,3456,Lakes High School,102235, ,0.035483871,310
Class of 2018,Dropped Out,3456,Lakes High School,102235, ,0.045161290,310
Class of 2018,Graduated,3464,Meadowdale High School,102536, ,0.920096852,413
Class of 2018,Continued,3464,Meadowdale High School,102536, ,0.058111380,413
Class of 2018,Dropped Out,3464,Meadowdale High School,102536, ,0.021791768,413
Class of 2018,Graduated,3467,Wahkiakum High School,103004, ,0.791666667,24
Class of 2018,Continued,3467,Wahkiakum High School,103004, ,0.166666667,24
Class of 2018,Dropped Out,3467,Wahkiakum High School,103004, ,0.041666667,24
Class of 2018,Graduated,3468,Walla Walla High School,103019, ,0.906914894,376
Class of 2018,Continued,3468,Walla Walla High School,103019, ,0.034574468,376
Class of 2018,Dropped Out,3468,Walla Walla High School,103019, ,0.058510638,376
Class of 2018,Graduated,3473,Crescent School,100492, ,0.833333333,18
Class of 2018,Continued,3473,Crescent School,100492, ,0.055555556,18
Class of 2018,Dropped Out,3473,Crescent School,100492, ,0.111111111,18
Class of 2018,Graduated,3476,J M Weatherwax High School,100868, ,0.820388350,206
Class of 2018,Continued,3476,J M Weatherwax High School,100868, ,0.087378641,206
Class of 2018,Dropped Out,3476,J M Weatherwax High School,100868, ,0.092233010,206
Class of 2018,Graduated,3479,Nathan Hale High School,101131, ,0.887417219,302
Class of 2018,Continued,3479,Nathan Hale High School,101131, ,0.079470199,302
Class of 2018,Dropped Out,3479,Nathan Hale High School,101131, ,0.033112583,302
Class of 2018,Graduated,3483,Tyee High School,101297, ,0.766990291,206
Class of 2018,Continued,3483,Tyee High School,101297, ,0.174757282,206
Class of 2018,Dropped Out,3483,Tyee High School,101297, ,0.058252427,206
Class of 2018,Graduated,3486,Newport Senior High School,101379, ,0.944990177,509
Class of 2018,Continued,3486,Newport Senior High School,101379, ,0.039292731,509
Class of 2018,Dropped Out,3486,Newport Senior High School,101379, ,0.015717092,509
Class of 2018,Graduated,3492,Inglemoor HS,101639, ,0.956422018,436
Class of 2018,Continued,3492,Inglemoor HS,101639, ,0.009174312,436
Class of 2018,Dropped Out,3492,Inglemoor HS,101639, ,0.034403670,436
Class of 2018,Graduated,3509,Tenino High School,102999, ,0.917808219,73
Class of 2018,Continued,3509,Tenino High School,102999, ,0.013698630,73
Class of 2018,Dropped Out,3509,Tenino High School,102999, ,0.068493151,73
Class of 2018,Graduated,3511,Richland High School,100415, ,0.909819639,499
Class of 2018,Continued,3511,Richland High School,100415, ,0.060120240,499
Class of 2018,Dropped Out,3511,Richland High School,100415, ,0.030060120,499
Class of 2018,Graduated,3516,Royal High School,100821, ,0.730158730,126
Class of 2018,Continued,3516,Royal High School,100821, ,0.095238095,126
Class of 2018,Dropped Out,3516,Royal High School,100821, ,0.174603175,126
Class of 2018,Graduated,3524,Cedarcrest High School,101408, ,0.933609959,241
Class of 2018,Continued,3524,Cedarcrest High School,101408, ,0.053941909,241
Class of 2018,Dropped Out,3524,Cedarcrest High School,101408, ,0.012448133,241
Class of 2018,Graduated,3528,Redmond High School,101531, ,0.962529274,427
Class of 2018,Continued,3528,Redmond High School,101531, ,0.021077283,427
Class of 2018,Dropped Out,3528,Redmond High School,101531, ,0.016393443,427
Class of 2018,Graduated,3546,Woodland High School,100698, ,0.931677019,161
Class of 2018,Continued,3546,Woodland High School,100698, ,0.018633540,161
Class of 2018,Dropped Out,3546,Woodland High School,100698, ,0.049689441,161
Class of 2018,Graduated,3554,Easton School,101764, ,0.818181818,11
Class of 2018,Continued,3554,Easton School,101764, ,0.181818182,11
Class of 2018,Dropped Out,3554,Easton School,101764, ,0,11
Class of 2018,Graduated,3564,Cascade High School,100449, ,0.943396226,106
Class of 2018,Continued,3564,Cascade High School,100449, ,0.009433962,106
Class of 2018,Dropped Out,3564,Cascade High School,100449, ,0.047169811,106
Class of 2018,Graduated,3576,Sehome High School,103069, ,0.882352941,255
Class of 2018,Continued,3576,Sehome High School,103069, ,0.074509804,255
Class of 2018,Dropped Out,3576,Sehome High School,103069, ,0.043137255,255
Class of 2018,Graduated,3580,Taholah High School,100897, ,0.461538462,13
Class of 2018,Continued,3580,Taholah High School,100897, ,0.076923077,13
Class of 2018,Dropped Out,3580,Taholah High School,100897, ,0.461538462,13
Class of 2018,Graduated,3584,Thomas Jefferson High School,101201, ,0.903896104,385
Class of 2018,Continued,3584,Thomas Jefferson High School,101201, ,0.044155844,385
Class of 2018,Dropped Out,3584,Thomas Jefferson High School,101201, ,0.051948052,385
Class of 2018,Graduated,3588,Interlake Senior High School,101383, ,0.918987342,395
Class of 2018,Continued,3588,Interlake Senior High School,101383, ,0.050632911,395
Class of 2018,Dropped Out,3588,Interlake Senior High School,101383, ,0.030379747,395
Class of 2018,Graduated,3600,Curtis Senior High,102177, ,0.936117936,407
Class of 2018,Continued,3600,Curtis Senior High,102177, ,0.029484029,407
Class of 2018,Dropped Out,3600,Curtis Senior High,102177, ,0.034398034,407
Class of 2018,Graduated,3610,Cheney High School,102817, ,0.872611465,314
Class of 2018,Continued,3610,Cheney High School,102817, ,0.054140127,314
Class of 2018,Dropped Out,3610,Cheney High School,102817, ,0.073248408,314
Class of 2018,Graduated,3622,Hoquiam High School,100878, ,0.887755102,98
Class of 2018,Continued,3622,Hoquiam High School,100878, ,0.061224490,98
Class of 2018,Dropped Out,3622,Hoquiam High School,100878, ,0.051020408,98
Class of 2018,Graduated,3630,Hazen Senior High School,101342, ,0.857881137,387
Class of 2018,Continued,3630,Hazen Senior High School,101342, ,0.054263566,387
Class of 2018,Dropped Out,3630,Hazen Senior High School,101342, ,0.087855297,387
Class of 2018,Graduated,3640,Kentridge High School,101586, ,0.908713693,482
Class of 2018,Continued,3640,Kentridge High School,101586, ,0.020746888,482
Class of 2018,Dropped Out,3640,Kentridge High School,101586, ,0.070539419,482
Class of 2018,Graduated,3645,Gov John Rogers High School,102055, ,0.909878683,577
Class of 2018,Continued,3645,Gov John Rogers High School,102055, ,0.027729636,577
Class of 2018,Dropped Out,3645,Gov John Rogers High School,102055, ,0.062391681,577
Class of 2018,Graduated,3648,Washington High School,102279, ,0.882653061,196
Class of 2018,Continued,3648,Washington High School,102279, ,0.045918367,196
Class of 2018,Dropped Out,3648,Washington High School,102279, ,0.071428571,196
Class of 2018,Graduated,3688,Mariner High School,102493, ,0.841392650,517
Class of 2018,Continued,3688,Mariner High School,102493, ,0.088974855,517
Class of 2018,Dropped Out,3688,Mariner High School,102493, ,0.069632495,517
Class of 2018,Graduated,3710,Timberline High School,102933, ,0.928753181,393
Class of 2018,Continued,3710,Timberline High School,102933, ,0.022900763,393
Class of 2018,Dropped Out,3710,Timberline High School,102933, ,0.048346056,393
Class of 2018,Graduated,3731,Kamiakin High School,100370, ,0.872180451,399
Class of 2018,Continued,3731,Kamiakin High School,100370, ,0.070175439,399
Class of 2018,Dropped Out,3731,Kamiakin High School,100370, ,0.057644110,399
Class of 2018,Graduated,3741,Lindbergh Senior High School,101346, ,0.855555556,270
Class of 2018,Continued,3741,Lindbergh Senior High School,101346, ,0.033333333,270
Class of 2018,Dropped Out,3741,Lindbergh Senior High School,101346, ,0.111111111,270
Class of 2018,Graduated,3755,Lynnwood High School,102554, ,0.815126050,357
Class of 2018,Continued,3755,Lynnwood High School,102554, ,0.103641457,357
Class of 2018,Dropped Out,3755,Lynnwood High School,102554, ,0.081232493,357
Class of 2018,Graduated,3766,Decatur High School,101210, ,0.881533101,287
Class of 2018,Continued,3766,Decatur High School,101210, ,0.055749129,287
Class of 2018,Dropped Out,3766,Decatur High School,101210, ,0.062717770,287
Class of 2018,Graduated,3771,Juanita High School,101544, ,0.918238994,318
Class of 2018,Continued,3771,Juanita High School,101544, ,0.028301887,318
Class of 2018,Dropped Out,3771,Juanita High School,101544, ,0.053459119,318
Class of 2018,Graduated,3778,South Lake High School,101144, ,0.321428571,28
Class of 2018,Continued,3778,South Lake High School,101144, ,0.428571429,28
Class of 2018,Dropped Out,3778,South Lake High School,101144, ,0.25,28
Class of 2018,Graduated,3811,Secondary Academy for Success,101644, ,0.787234043,47
Class of 2018,Continued,3811,Secondary Academy for Success,101644, ,0.127659574,47
Class of 2018,Dropped Out,3811,Secondary Academy for Success,101644, ,0.085106383,47
Class of 2018,Graduated,3833,Hanford High School,100417, ,0.919389978,459
Class of 2018,Continued,3833,Hanford High School,100417, ,0.054466231,459
Class of 2018,Dropped Out,3833,Hanford High School,100417, ,0.026143791,459
Class of 2018,Graduated,3854,Scriber Lake High School,102556, ,0.361111111,72
Class of 2018,Continued,3854,Scriber Lake High School,102556, ,0.388888889,72
Class of 2018,Dropped Out,3854,Scriber Lake High School,102556, ,0.25,72
Class of 2018,Graduated,3855,Emerson High School,101546, ,0.5,32
Class of 2018,Continued,3855,Emerson High School,101546, ,0.28125,32
Class of 2018,Dropped Out,3855,Emerson High School,101546, ,0.21875,32
Class of 2018,Graduated,3857,Harbor High School,100869, ,0.543478261,46
Class of 2018,Continued,3857,Harbor High School,100869, ,0.282608696,46
Class of 2018,Dropped Out,3857,Harbor High School,100869, ,0.173913043,46
Class of 2018,Graduated,3868,Nova High School,101147, ,0.558823529,68
Class of 2018,Continued,3868,Nova High School,101147, ,0.352941176,68
Class of 2018,Dropped Out,3868,Nova High School,101147, ,0.088235294,68
Class of 2018,Graduated,3880,Foss,102158, ,0.833333333,192
Class of 2018,Continued,3880,Foss,102158, ,0.052083333,192
Class of 2018,Dropped Out,3880,Foss,102158, ,0.114583333,192
Class of 2018,Graduated,3899,Discovery,101753, ,0.419354839,93
Class of 2018,Continued,3899,Discovery,101753, ,0.365591398,93
Class of 2018,Dropped Out,3899,Discovery,101753, ,0.215053763,93
Class of 2018,Graduated,3912,New Horizons High School,100769, ,0.150326797,153
Class of 2018,Continued,3912,New Horizons High School,100769, ,0.496732026,153
Class of 2018,Dropped Out,3912,New Horizons High School,100769, ,0.352941176,153
Class of 2018,Graduated,3918,Mica Peak High School,102800, ,0.740740741,54
Class of 2018,Continued,3918,Mica Peak High School,102800, ,0.129629630,54
Class of 2018,Dropped Out,3918,Mica Peak High School,102800, ,0.129629630,54
Class of 2018,Graduated,3921,Shorewood High School,101507, ,0.911528150,373
Class of 2018,Continued,3921,Shorewood High School,101507, ,0.056300268,373
Class of 2018,Dropped Out,3921,Shorewood High School,101507, ,0.032171582,373
Class of 2018,Graduated,3960,Capital High School,102976, ,0.929936306,314
Class of 2018,Continued,3960,Capital High School,102976, ,0.028662420,314
Class of 2018,Dropped Out,3960,Capital High School,102976, ,0.041401274,314
Class of 2018,Graduated,3962,Liberty Sr High School,101473, ,0.888563050,341
Class of 2018,Continued,3962,Liberty Sr High School,101473, ,0.038123167,341
Class of 2018,Dropped Out,3962,Liberty Sr High School,101473, ,0.073313783,341
Class of 2018,Graduated,4003,Lincoln High School,100486, ,0.228571429,35
Class of 2018,Continued,4003,Lincoln High School,100486, ,0.371428571,35
Class of 2018,Dropped Out,4003,Lincoln High School,100486, ,0.4,35
Class of 2018,Graduated,4022,Pace Alternative High School,103281, ,0.103448276,29
Class of 2018,Continued,4022,Pace Alternative High School,103281, ,0.275862069,29
Class of 2018,Dropped Out,4022,Pace Alternative High School,103281, ,0.620689655,29
Class of 2018,Graduated,4049,Columbia High School,103033, ,0.833333333,60
Class of 2018,Continued,4049,Columbia High School,103033, ,0.083333333,60
Class of 2018,Dropped Out,4049,Columbia High School,103033, ,0.083333333,60
Class of 2018,Graduated,4063,Gates Secondary School,102281, ,0.714285714,84
Class of 2018,Continued,4063,Gates Secondary School,102281, ,0.119047619,84
Class of 2018,Dropped Out,4063,Gates Secondary School,102281, ,0.166666667,84
Class of 2018,Graduated,4071,Lincoln High School,103022, ,0.847826087,46
Class of 2018,Continued,4071,Lincoln High School,103022, ,0.086956522,46
Class of 2018,Dropped Out,4071,Lincoln High School,103022, ,0.065217391,46
Class of 2018,Graduated,4081,Gig Harbor High,102260, ,0.908872902,417
Class of 2018,Continued,4081,Gig Harbor High,102260, ,0.050359712,417
Class of 2018,Dropped Out,4081,Gig Harbor High,102260, ,0.040767386,417
Class of 2018,Graduated,4093,Stanton Academy,103206, ,0.2375,80
Class of 2018,Continued,4093,Stanton Academy,103206, ,0.2375,80
Class of 2018,Dropped Out,4093,Stanton Academy,103206, ,0.525,80
Class of 2018,Graduated,4100,Olympic High School,101729, ,0.903474903,259
Class of 2018,Continued,4100,Olympic High School,101729, ,0.065637066,259
Class of 2018,Dropped Out,4100,Olympic High School,101729, ,0.030888031,259
Class of 2018,Graduated,4104,Prairie High School,100643, ,0.8828125,384
Class of 2018,Continued,4104,Prairie High School,100643, ,0.0390625,384
Class of 2018,Dropped Out,4104,Prairie High School,100643, ,0.078125,384
Class of 2018,Graduated,4109,Oakland High School,102160, ,0.666666667,54
Class of 2018,Continued,4109,Oakland High School,102160, ,0.092592593,54
Class of 2018,Dropped Out,4109,Oakland High School,102160, ,0.240740741,54
Class of 2018,Graduated,4110,Chief Leschi Schools(Closed),102061, ,0.6,55
Class of 2018,Continued,4110,Chief Leschi Schools(Closed),102061, ,0.036363636,55
Class of 2018,Dropped Out,4110,Chief Leschi Schools(Closed),102061, ,0.363636364,55
Class of 2018,Graduated,4123,Deer Park High School,102859, ,0.960784314,153
Class of 2018,Continued,4123,Deer Park High School,102859, ,0.006535948,153
Class of 2018,Dropped Out,4123,Deer Park High School,102859, ,0.032679739,153
Class of 2018,Graduated,4128,Kentwood High School,101598, ,0.885245902,488
Class of 2018,Continued,4128,Kentwood High School,101598, ,0.043032787,488
Class of 2018,Dropped Out,4128,Kentwood High School,101598, ,0.071721311,488
Class of 2018,Graduated,4131,Steilacoom High,102028, ,0.928286853,251
Class of 2018,Continued,4131,Steilacoom High,102028, ,0.047808765,251
Class of 2018,Dropped Out,4131,Steilacoom High,102028, ,0.023904382,251
Class of 2018,Graduated,4137,Sequoia High School,102459, ,0.771428571,70
Class of 2018,Continued,4137,Sequoia High School,102459, ,0.071428571,70
Class of 2018,Dropped Out,4137,Sequoia High School,102459, ,0.157142857,70
Class of 2018,Graduated,4149,South Whidbey High School,100942, ,0.904255319,94
Class of 2018,Continued,4149,South Whidbey High School,100942, ,0.063829787,94
Class of 2018,Dropped Out,4149,South Whidbey High School,100942, ,0.031914894,94
Class of 2018,Graduated,4158,Spanaway Lake High School,102302, ,0.907514451,346
Class of 2018,Continued,4158,Spanaway Lake High School,102302, ,0.049132948,346
Class of 2018,Dropped Out,4158,Spanaway Lake High School,102302, ,0.043352601,346
Class of 2018,Graduated,4162,Mountain View High School,100609, ,0.893364929,422
Class of 2018,Continued,4162,Mountain View High School,100609, ,0.026066351,422
Class of 2018,Dropped Out,4162,Mountain View High School,100609, ,0.080568720,422
Class of 2018,Graduated,4201,Lynden High School,103097, ,0.843434343,198
Class of 2018,Continued,4201,Lynden High School,103097, ,0.050505051,198
Class of 2018,Dropped Out,4201,Lynden High School,103097, ,0.106060606,198
Class of 2018,Graduated,4208,Woodinville HS,101652, ,0.942093541,449
Class of 2018,Continued,4208,Woodinville HS,101652, ,0.022271715,449
Class of 2018,Dropped Out,4208,Woodinville HS,101652, ,0.035634744,449
Class of 2018,Graduated,4220,Ilwaco High School,101983, ,0.916666667,60
Class of 2018,Continued,4220,Ilwaco High School,101983, ,0.033333333,60
Class of 2018,Dropped Out,4220,Ilwaco High School,101983, ,0.05,60
Class of 2018,Graduated,4228,Riverside High School,102866, ,0.890909091,110
Class of 2018,Continued,4228,Riverside High School,102866, ,0.036363636,110
Class of 2018,Dropped Out,4228,Riverside High School,102866, ,0.072727273,110
Class of 2018,Graduated,4233,Marysville Mountain View High School,102590, ,0.571428571,49
Class of 2018,Continued,4233,Marysville Mountain View High School,102590, ,0.204081633,49
Class of 2018,Dropped Out,4233,Marysville Mountain View High School,102590, ,0.224489796,49
Class of 2018,Graduated,4247,ACES High School,102498, ,0.415584416,77
Class of 2018,Continued,4247,ACES High School,102498, ,0.259740260,77
Class of 2018,Dropped Out,4247,ACES High School,102498, ,0.324675325,77
Class of 2018,Graduated,4254,Wahluke High School,100796, ,0.829931973,147
Class of 2018,Continued,4254,Wahluke High School,100796, ,0.061224490,147
Class of 2018,Dropped Out,4254,Wahluke High School,100796, ,0.108843537,147
Class of 2018,Graduated,4260,Chelan High School,100437, ,0.96,100
Class of 2018,Continued,4260,Chelan High School,100437, ,0,100
Class of 2018,Dropped Out,4260,Chelan High School,100437, ,0.04,100
Class of 2018,Graduated,4265,AIM High School,102633, ,0.366666667,60
Class of 2018,Continued,4265,AIM High School,102633, ,0.366666667,60
Class of 2018,Dropped Out,4265,AIM High School,102633, ,0.266666667,60
Class of 2018,Graduated,4272,Selah Academy,103221, ,0.127272727,55
Class of 2018,Continued,4272,Selah Academy,103221, ,0.109090909,55
Class of 2018,Dropped Out,4272,Selah Academy,103221, ,0.763636364,55
Class of 2018,Graduated,4287,Weston High School,102567, ,0.351851852,54
Class of 2018,Continued,4287,Weston High School,102567, ,0.259259259,54
Class of 2018,Dropped Out,4287,Weston High School,102567, ,0.388888889,54
Class of 2018,Graduated,4295,Rivers Edge High School,100422, ,0.181034483,116
Class of 2018,Continued,4295,Rivers Edge High School,100422, ,0.362068966,116
Class of 2018,Dropped Out,4295,Rivers Edge High School,100422, ,0.456896552,116
Class of 2018,Graduated,4314,South Sound High School,102939, ,0.467532468,77
Class of 2018,Continued,4314,South Sound High School,102939, ,0.233766234,77
Class of 2018,Dropped Out,4314,South Sound High School,102939, ,0.298701299,77
Class of 2018,Graduated,4326,Rochester High School,102996, ,0.881481481,135
Class of 2018,Continued,4326,Rochester High School,102996, ,0.088888889,135
Class of 2018,Dropped Out,4326,Rochester High School,102996, ,0.029629630,135
Class of 2018,Graduated,4427,River Ridge High School,102943, ,0.834615385,260
Class of 2018,Continued,4427,River Ridge High School,102943, ,0.073076923,260
Class of 2018,Dropped Out,4427,River Ridge High School,102943, ,0.092307692,260
Class of 2018,Graduated,4433,Kamiak High School,102506, ,0.923232323,495
Class of 2018,Continued,4433,Kamiak High School,102506, ,0.046464646,495
Class of 2018,Dropped Out,4433,Kamiak High School,102506, ,0.030303030,495
Class of 2018,Graduated,4438,Henry M. Jackson High School,102466, ,0.984,500
Class of 2018,Continued,4438,Henry M. Jackson High School,102466, ,0.012,500
Class of 2018,Dropped Out,4438,Henry M. Jackson High School,102466, ,0.004,500
Class of 2018,Graduated,4439,Eastlake High School,101565, ,0.946759259,432
Class of 2018,Continued,4439,Eastlake High School,101565, ,0.032407407,432
Class of 2018,Dropped Out,4439,Eastlake High School,101565, ,0.020833333,432
Class of 2018,Graduated,4450,Summit View High School,100648, ,0.311377246,167
Class of 2018,Continued,4450,Summit View High School,100648, ,0.287425150,167
Class of 2018,Dropped Out,4450,Summit View High School,100648, ,0.401197605,167
Class of 2018,Graduated,4474,Auburn Riverside High School,101432, ,0.907142857,420
Class of 2018,Continued,4474,Auburn Riverside High School,101432, ,0.042857143,420
Class of 2018,Dropped Out,4474,Auburn Riverside High School,101432, ,0.05,420
Class of 2018,Graduated,4484,Southridge High School,100384, ,0.808184143,391
Class of 2018,Continued,4484,Southridge High School,100384, ,0.092071611,391
Class of 2018,Dropped Out,4484,Southridge High School,100384, ,0.099744246,391
Class of 2018,Graduated,4491,Mt Spokane High School,102782, ,0.902631579,380
Class of 2018,Continued,4491,Mt Spokane High School,102782, ,0.068421053,380
Class of 2018,Dropped Out,4491,Mt Spokane High School,102782, ,0.028947368,380
Class of 2018,Graduated,4492,Kentlake High School,101615, ,0.823880597,335
Class of 2018,Continued,4492,Kentlake High School,101615, ,0.083582090,335
Class of 2018,Dropped Out,4492,Kentlake High School,101615, ,0.092537313,335
Class of 2018,Graduated,4495,Skyline High School,101479, ,0.937611408,561
Class of 2018,Continued,4495,Skyline High School,101479, ,0.017825312,561
Class of 2018,Dropped Out,4495,Skyline High School,101479, ,0.044563280,561
Class of 2018,Graduated,4500,A G West Black Hills High School,102958, ,0.909952607,211
Class of 2018,Continued,4500,A G West Black Hills High School,102958, ,0.033175355,211
Class of 2018,Dropped Out,4500,A G West Black Hills High School,102958, ,0.056872038,211
Class of 2018,Graduated,4504,Skyview High School,100561, ,0.975308642,486
Class of 2018,Continued,4504,Skyview High School,100561, ,0.010288066,486
Class of 2018,Dropped Out,4504,Skyview High School,100561, ,0.014403292,486
Class of 2018,Graduated,4509,Klahowya Secondary,101737, ,0.914893617,141
Class of 2018,Continued,4509,Klahowya Secondary,101737, ,0.063829787,141
Class of 2018,Dropped Out,4509,Klahowya Secondary,101737, ,0.021276596,141
Class of 2018,Graduated,4515,Squalicum High School,103073, ,0.877419355,310
Class of 2018,Continued,4515,Squalicum High School,103073, ,0.061290323,310
Class of 2018,Dropped Out,4515,Squalicum High School,103073, ,0.061290323,310
Class of 2018,Graduated,4523,Heritage High School,100618, ,0.866666667,435
Class of 2018,Continued,4523,Heritage High School,100618, ,0.036781609,435
Class of 2018,Dropped Out,4523,Heritage High School,100618, ,0.096551724,435
Class of 2018,Graduated,4528,Monroe High School,102614, ,0.877403846,416
Class of 2018,Continued,4528,Monroe High School,102614, ,0.076923077,416
Class of 2018,Dropped Out,4528,Monroe High School,102614, ,0.045673077,416
Class of 2018,Graduated,4540,Emerald Ridge High School,102071, ,0.933884298,484
Class of 2018,Continued,4540,Emerald Ridge High School,102071, ,0.024793388,484
Class of 2018,Dropped Out,4540,Emerald Ridge High School,102071, ,0.041322314,484
Class of 2018,Graduated,4559,Highland High School,103260, ,0.859154930,71
Class of 2018,Continued,4559,Highland High School,103260, ,0.056338028,71
Class of 2018,Dropped Out,4559,Highland High School,103260, ,0.084507042,71
Class of 2018,Graduated,4567,Camas High School,100629, ,0.910020450,489
Class of 2018,Continued,4567,Camas High School,100629, ,0.055214724,489
Class of 2018,Dropped Out,4567,Camas High School,100629, ,0.034764826,489
Class of 2018,Graduated,4568,Hockinson High School,100567, ,0.945945946,185
Class of 2018,Continued,4568,Hockinson High School,100567, ,0.016216216,185
Class of 2018,Dropped Out,4568,Hockinson High School,100567, ,0.037837838,185
Class of 2018,Graduated,4569,White River High School,102329, ,0.920792079,303
Class of 2018,Continued,4569,White River High School,102329, ,0.046204620,303
Class of 2018,Dropped Out,4569,White River High School,102329, ,0.033003300,303
Class of 2018,Graduated,4570,Todd Beamer High School,101226, ,0.891820580,379
Class of 2018,Continued,4570,Todd Beamer High School,101226, ,0.036939314,379
Class of 2018,Dropped Out,4570,Todd Beamer High School,101226, ,0.071240106,379
Class of 2018,Graduated,4585,Bonney Lake High School,104138, ,0.851428571,350
Class of 2018,Continued,4585,Bonney Lake High School,104138, ,0.057142857,350
Class of 2018,Dropped Out,4585,Bonney Lake High School,104138, ,0.091428571,350
Class of 2018,Graduated,5014,New Market High School,104029, ,0.576923077,26
Class of 2018,Continued,5014,New Market High School,104029, ,0.192307692,26
Class of 2018,Dropped Out,5014,New Market High School,104029, ,0.230769231,26
Class of 2018,Graduated,5028,Big Picture School,104145, ,0.851851852,27
Class of 2018,Continued,5028,Big Picture School,104145, ,0.111111111,27
Class of 2018,Dropped Out,5028,Big Picture School,104145, ,0.037037037,27
Class of 2018,Graduated,5033,Graham Kapowsin High School,104150, ,0.891540130,461
Class of 2018,Continued,5033,Graham Kapowsin High School,104150, ,0.041214751,461
Class of 2018,Dropped Out,5033,Graham Kapowsin High School,104150, ,0.067245119,461
Class of 2018,Graduated,5037,Auburn Mountainview High School,104154, ,0.936639118,363
Class of 2018,Continued,5037,Auburn Mountainview High School,104154, ,0.024793388,363
Class of 2018,Dropped Out,5037,Auburn Mountainview High School,104154, ,0.038567493,363
Class of 2018,Graduated,5042,Medical Lake Endeavors,104160, ,0.333333333,12
Class of 2018,Continued,5042,Medical Lake Endeavors,104160, ,0.166666667,12
Class of 2018,Dropped Out,5042,Medical Lake Endeavors,104160, ,0.5,12
Class of 2018,Graduated,5071,Insight School of Washington,104243, ,0.321614583,768
Class of 2018,Continued,5071,Insight School of Washington,104243, ,0.225260417,768
Class of 2018,Dropped Out,5071,Insight School of Washington,104243, ,0.453125,768
Class of 2018,Graduated,5077,White Salmon Academy,104271, ,0.461538462,13
Class of 2018,Continued,5077,White Salmon Academy,104271, ,0,13
Class of 2018,Dropped Out,5077,White Salmon Academy,104271, ,0.538461538,13
Class of 2018,Graduated,5078,Olympia Regional Learning Academy,104270, ,0.521739130,23
Class of 2018,Continued,5078,Olympia Regional Learning Academy,104270, ,0.130434783,23
Class of 2018,Dropped Out,5078,Olympia Regional Learning Academy,104270, ,0.347826087,23
Class of 2018,Graduated,5085,Kingston High School,104342, ,0.911602210,181
Class of 2018,Continued,5085,Kingston High School,104342, ,0.044198895,181
Class of 2018,Dropped Out,5085,Kingston High School,104342, ,0.044198895,181
Class of 2018,Graduated,5098,Kent Phoenix Academy,104413, ,0.451327434,113
Class of 2018,Continued,5098,Kent Phoenix Academy,104413, ,0.327433628,113
Class of 2018,Dropped Out,5098,Kent Phoenix Academy,104413, ,0.221238938,113
Class of 2018,Graduated,5102,Arts & Academics Academy (Closed after 2016-2017 school year),104468, ,0.285714286,14
Class of 2018,Continued,5102,Arts & Academics Academy (Closed after 2016-2017 school year),104468, ,0,14
Class of 2018,Dropped Out,5102,Arts & Academics Academy (Closed after 2016-2017 school year),104468, ,0.714285714,14
Class of 2018,Graduated,5104,Hayes Freedom High School,104471, ,0.771428571,35
Class of 2018,Continued,5104,Hayes Freedom High School,104471, ,0.114285714,35
Class of 2018,Dropped Out,5104,Hayes Freedom High School,104471, ,0.114285714,35
Class of 2018,Graduated,5106,Phoenix High School,104484, ,0.352941176,17
Class of 2018,Continued,5106,Phoenix High School,104484, ,0.352941176,17
Class of 2018,Dropped Out,5106,Phoenix High School,104484, ,0.294117647,17
Class of 2018,Graduated,5111,Union High School,104613, ,0.938579655,521
Class of 2018,Continued,5111,Union High School,104613, ,0.023032630,521
Class of 2018,Dropped Out,5111,Union High School,104613, ,0.038387716,521
Class of 2018,Graduated,5118,Pend Oreille River School,104623, ,0.666666667,18
Class of 2018,Continued,5118,Pend Oreille River School,104623, ,0.055555556,18
Class of 2018,Dropped Out,5118,Pend Oreille River School,104623, ,0.277777778,18
Class of 2018,Graduated,5128,Glacier Peak High School,104722, ,0.963133641,434
Class of 2018,Continued,5128,Glacier Peak High School,104722, ,0.016129032,434
Class of 2018,Dropped Out,5128,Glacier Peak High School,104722, ,0.020737327,434
Class of 2018,Graduated,5151,Okanogan Outreach Alternative School,104800, ,0.454545455,44
Class of 2018,Continued,5151,Okanogan Outreach Alternative School,104800, ,0.068181818,44
Class of 2018,Dropped Out,5151,Okanogan Outreach Alternative School,104800, ,0.477272727,44
Class of 2018,Graduated,5153,Yakima Online,104803, ,0.444444444,36
Class of 2018,Continued,5153,Yakima Online,104803, ,0.083333333,36
Class of 2018,Dropped Out,5153,Yakima Online,104803, ,0.472222222,36
Class of 2018,Graduated,5163,Career Academy at Truman High School,104881, ,0.5,58
Class of 2018,Continued,5163,Career Academy at Truman High School,104881, ,0.189655172,58
Class of 2018,Dropped Out,5163,Career Academy at Truman High School,104881, ,0.310344828,58
